X,Y,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,LocationX,LocationY
-90.017799009994221,29.923616522863586,16311,"ALGIERS PHARMACY, LLC",ALGIERS PHARMACY,3648 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,,1120 - PHARMACIES & DRUG STORES,3697553.45149,520104.9662
-90.076989294556824,29.951922709288411,16312,AVITA DRUGS LLC,AVITA DRUGS,2601 TULANE AVE,445,NEW ORLEANS,LA,70119,504-822-8013,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
-90.097525430385232,29.964705217965268,16313,AVITA DRUGS LLC,AVITA DRUGS,3308 TULANE AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3672138.59572,534765.195014
-90.085254168801882,29.964538646765238,16314,BENZER LA 1 LLC,BENZER PHARMACY,2525 CANAL ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3676024.64654,534746.73607
-90.09016139835343,29.96190998895651,16315,"BEST LIFE PHARMACY & RESTAURANT, INC.",BEST LIFE PHARMACY,2657 TULANE AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3674481.26254,533773.965701
-90.077681417634324,29.976193444403126,16316,HUNG TRAN PHAT PHARMACY,BROAD AVENUE PHARMACY,1400 N BROAD ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3678375.92955,539011.057866
-90.015465405427875,29.919552004640167,16317,CARR'S DRUGS INC,CARR'S DRUGS INC,3500 HOLIDAY DR,,NEW ORLEANS,LA,70114-8207,,1120 - PHARMACIES & DRUG STORES,3698309.62736,518635.466231
-90.131358742047482,29.948478385076982,16318,TERSCO LLC,CASTELLON PHARMACY,8232 OAK ST,,NEW ORLEANS,LA,70118,504-866-3784,1120 - PHARMACIES & DRUG STORES,3661487.98963,528750.531264
-90.115357813189391,30.020384046246811,16319,CHARBONNET FAMILY PHARMACY,CHARBONNET FAMILY PHARMACY,7211 REGENT ST,,NEW ORLEANS,LA,70124,504-309-2449,1120 - PHARMACIES & DRUG STORES,3666277.18855,554951.808856
-90.065463541054868,29.972045529598766,16320,HERBERT BURRELL,CLAIBORNE DISCOUNT,1522  ST BERNARD AVE,,NEW ORLEANS,LA,70116,504-957-2336,1120 - PHARMACIES & DRUG STORES,3682260.6548,537545.313544
-90.025794845440672,29.926263809772639,16321,"COLISTICS,INC",COLISTICS PHARMACY,3361 GENERAL DE GAULLE DR,STE #A,NEW ORLEANS,LA,70114,,1120 - PHARMACIES & DRUG STORES,3695009.75786,521038.619641
-89.973518966526242,30.032076315937498,16322,"COMMUNITY CHOICE PHARAMACY, LLC",COMMUNITY CHOICE PHARAMACY,9970 LAKE FOREST BLVD,STE A,NEW ORLEANS,LA,70127,504-957-2336,1120 - PHARMACIES & DRUG STORES,3711111.22251,559708.436061
-90.130601195319144,29.947879066074577,16323,MBP GROUP LLC,CRESCENT CITY APOTHECARY,8138 OAK ST,,NEW ORLEANS,LA,70118,504-220-6828,1120 - PHARMACIES & DRUG STORES,3661730.17542,528535.113024
-90.085952877439553,29.93867618284715,16324,"LMF VENTURES, LLC",CRESCENT CITY PHARMACY,2240 SIMON BOLIVAR AVE,STE A,NEW ORLEANS,LA,70113,504-267-4100,1120 - PHARMACIES & DRUG STORES,3675905.79713,525339.772413
-90.05312470728235,30.026618031463407,16325,"LOUISIANA CVS PHARMACY, L.L.C.",CVS  PHARMACY # 8266,2585 LEON C SIMON DR,,NEW ORLEANS,LA,70122,401-765-1500,1120 - PHARMACIES & DRUG STORES,3685945.42313,557433.416411
-90.05768317381883,29.973847755899467,16326,"LOUISIANA CVS PHARMACY,LLC",CVS PHARMACY #10483,1600 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1120 - PHARMACIES & DRUG STORES,3684716.63125,538228.009865
-90.062897167836866,29.956402543112297,16327,LOUISIANA CVS PHARMACY LLC,CVS PHARMACY #2728,620 DECATUR ST,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3683136.24072,531865.943747
-90.110769267137542,29.965854899290576,16328,LOUISIANA CVS PHARMACY LLC,CVS PHARMACY #3730,3700 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1120 - PHARMACIES & DRUG STORES,3667940.79706,535138.280134
-90.089454324347628,29.923135633248954,16329,LOUISIANA CVS PHARMACY LLC,CVS/ PHARMACY #10058,1116 LOUISIANA AVE,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3674858.20776,519676.609144
-90.076989294556824,29.951922709288411,16330,LOUISIANA CVS PHARMACY LLC,CVS/ PHARMACY #763,800-B CANAL ST,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
-89.976213038053686,30.035440221959263,16331,"LOUISIANA CVS PHARMACY, LLC",CVS/PHARMACY # 10108,5902 READ BLVD,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3710244.30904,560921.573022
-90.020821520683143,29.924077437048826,16332,"LOUISIANA CVS PHARMACY, LLC",CVS/PHARMACY #05387,3621 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,,1120 - PHARMACIES & DRUG STORES,3696594.14115,520261.59116
-90.020506475492667,29.967100130117803,16333,LOUISIANA  CVS PHARMACY  LLC,CVS/PHARMACY #10538,5000 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,,1120 - PHARMACIES & DRUG STORES,3696514.68714,535907.274247
-90.074353187622805,29.948378537827598,16334,LOUISIANA CVS PHARMACY LLC,CVS/PHARMACY #10559,939 GIROD ST,STE:160,NEW ORLEANS,LA,70113,,1120 - PHARMACIES & DRUG STORES,3679540.74101,528908.080576
-90.096574510945644,29.977837574634957,16335,LOUISIANA CVS PHARMACY  LLC,CVS/PHARMACY #10594,500 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3672388.13723,539543.875082
-90.108325371407687,29.924951575752207,16336,LOUISIANA CVS PHARMACY LLC,CVS/PHARMACY #5503,4901 PRYTANIA ST,,NEW ORLEANS,LA,70115,504-891-6307,1120 - PHARMACIES & DRUG STORES,3668873.60481,520272.554872
-90.076989294556824,29.951922709288411,16337,DELF USA,DELF USA,3021 RUE PARC FONTAINE NA,210,NEW ORLEANS,LA,,504-394-9755,0125 - DRUGS & DRUGGISTS' SUNDRIES WHLSRS,3678691.8167,530187.70942
-89.924202651253836,30.024936224956534,16338,DR G H TICHENOR ANTISEPT,DR G H TICHENOR ANTISEPTIC CO,4200 W POCHE CT,,NEW ORLEANS,LA,70129,504-588-9131,1120 - PHARMACIES & DRUG STORES,3726747.1767,557300.584923
-90.06712934792769,29.968125410596837,16339,"IDEAL PHARMACY CARE, INC",ESPLANADE FOOD STORE,1400 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-523-5910,1120 - PHARMACIES & DRUG STORES,3681749.01077,536113.979271
-90.051504589758707,30.022929970615927,16340,"FRANKLIN AVENUE PHARMACY, INC",FRANKLIN AVENUE PHARMACY,6201 FRANKLIN AVE,,NEW ORLEANS,LA,70122,504-309-0083,1120 - PHARMACIES & DRUG STORES,3686473.07625,556098.021274
-90.022225328666408,29.940088356481809,16341,CALVIN MAGEE,GENERAL MEYER PHARMACY,3201 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,504-872-9882,1120 - PHARMACIES & DRUG STORES,3696082.86346,526078.615294
-90.134634567093983,29.944673945707112,16342,"HEALTH & LIFE, INC",H & L PHARMACY,8200 HAMPSON ST,,NEW ORLEANS,LA,70118,504-309-4950,0125 - DRUGS & DRUGGISTS' SUNDRIES WHLSRS,3660465.08077,527356.223039
-89.995463301391794,30.03554819560123,16343,"H & W DRUG STORE, INC.",H & W DRUG STORE,8454 MORRISON RD,,NEW ORLEANS,LA,70126,504-244-3784,1120 - PHARMACIES & DRUG STORES,3704153.11594,560889.20963
-90.01879432141439,29.939099619005749,16344,"SHELTON, CYNTHIA H.",H S REMEDIES APOTHECARY,3600 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,504-368-0184,1120 - PHARMACIES & DRUG STORES,3697173.5921,525731.526077
-89.912105005675713,30.037079657490036,16345,KEN'S PHARMACY INC,KEN'S PHARMACY,4626 ALCEE FORTIER BLVD,C,NEW ORLEANS,LA,70129,504-254-4553,1120 - PHARMACIES & DRUG STORES,3730520.44608,561763.642143
-90.102481595503633,29.937331616729278,16346,"LA PETITE PHARMACY, LLC",LA PETITE PHARMACY,4321 MAGNOLIA ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3670676.27303,524794.229308
-90.03858173745374,29.96672227427111,16347,"CBJ VENTURES, LLC",MED PRO PHARMACY,3601 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-234-1056,1120 - PHARMACIES & DRUG STORES,3690793.32681,535704.754183
-90.092830701673819,29.943079656893296,16348,MEDICINE PRO LLC,MED-PRO PHARMACY,2600 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-309-9223,1120 - PHARMACIES & DRUG STORES,3673710.2011,526917.390654
-90.09564719446341,29.958035033792658,16349,"MEDI-PHYSICS, INC",MEDI-PHYSICS,3920 HOWARD AVE,,NEW ORLEANS,LA,70125-1321,504-822-4601,1120 - PHARMACIES & DRUG STORES,3672759.4923,532346.081027
-89.92904199581163,30.031986057266,16350,"VOTRAN RX,LLC",MICHOUD PHARMACY,4646 MICHOUD BLVD,STE #D5,NEW ORLEANS,LA,70129,,1120 - PHARMACIES & DRUG STORES,3725184.4503,559845.355485
-90.106550228993356,30.00426080798286,16351,K & B LOUISIANA CORP,RITE AID # 7271,760 HARRISON AVE,,NEW ORLEANS,LA,70124-3156,504-586-1234,1120 - PHARMACIES & DRUG STORES,3669127.11316,549118.469139
-90.091864347231791,29.928490073493915,16352,K & B LOUISIANA CORP.,RITE AID #7255,3401 ST CHARLES AVE,,NEW ORLEANS,LA,70115,504-586-1234,1120 - PHARMACIES & DRUG STORES,3674073.72033,521615.398329
-90.126423004678927,29.937415855340536,16353,K & B LOUISIANA CORP.,RITE AID #7260,7133 ST CHARLES AVE,,NEW ORLEANS,LA,70118-3541,504-586-1234,1120 - PHARMACIES & DRUG STORES,3663093.39981,524744.202748
-90.086958315794575,29.965621765090088,16354,K & B LOUISIANA CORP.,RITE AID #7262,2669 CANAL ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3675480.78568,535134.725766
-90.05971262119543,29.99818268249825,16355,K & B LOUISIANA CORP.   K & B LOUISIANA CORP,RITE AID #7266,3100 GENTILLY BLVD,,NEW ORLEANS,LA,70122-3854,504-586-1234,1120 - PHARMACIES & DRUG STORES,3683975.75842,547069.968465
-89.954125756611987,30.038815023326269,16356,"K & B LOUISIANA, CORP",RITE AID #7276,5661 BULLARD AVE,,NEW ORLEANS,LA,70128-3447,,1120 - PHARMACIES & DRUG STORES,3717217.88274,562232.219551
-90.010967519237624,29.919359517102176,16357,K & B LOUISIANA CORP.,RITE AID #7277,4350 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131-8643,504-586-1234,1120 - PHARMACIES & DRUG STORES,3699735.21348,518581.886519
-90.129656200602454,29.946946801640117,16358,K & B LOUISIANA CORP.,RITE AID 7258,1133 S CARROLLTON AVE,,NEW ORLEANS,LA,70118-2023,504-586-1234,1120 - PHARMACIES & DRUG STORES,3662032.99719,528199.24832
-90.06198996879192,29.961412851482869,16359,"TUSA, CHAS H",ROYAL PHARMACY,1101 ROYAL ST,,NEW ORLEANS,LA,70116,,1120 - PHARMACIES & DRUG STORES,3683403.29116,533691.061893
-89.911525866817783,30.037163217890157,16360,"AN CUONG,LLC",TIEN'S PHARMACY,4623 ALCEE FORTIER BLVD,,NEW ORLEANS,LA,70129,504-254-4606,1120 - PHARMACIES & DRUG STORES,3730703.30266,561796.300959
-90.118794325991701,29.921442100691042,16361,MICHAEL P KULLMAN INC,UPTOWN DELIVERY PHARMACY,741 NASHVILLE AVE,,NEW ORLEANS,LA,70115,504-897-0141,1120 - PHARMACIES & DRUG STORES,3665571.06874,518961.079479
-89.99292234235233,30.02785185527874,16362,"WALGREEN  LOUISIANA CO., INC.",WALGREEN #16312,5702 CROWDER BLVD,,NEW ORLEANS,LA,70126,,1120 - PHARMACIES & DRUG STORES,3704989.80811,558099.921883
-90.116599045878388,29.921036328678245,16363,"WALGREENS LOUISIANA CO, INC",WALGREENS  #15199,5518 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3666268.01991,518820.903415
-90.057528914647378,29.968835106779061,16364,"WALGREENS LOUISIANA CO., INC.",WALGREENS #02262,1100 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1120 - PHARMACIES & DRUG STORES,3684785.76418,536405.767751
-90.087034765888575,29.923859806904574,16365,"WALGREENS LOUISIANA CO., INC.",WALGREENS #02640,3227 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3675621.75611,519948.272376
-90.039386100190072,30.003762244718867,16366,"WALGREENS LOUISIANA CO., INC.",WALGREENS #03024,4200 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,708-317-5431,1120 - PHARMACIES & DRUG STORES,3690386.55062,549170.992787
-90.07201370218543,29.982410999759438,16367,WALGREENS LOUISIANA CO,WALGREENS #03139,1826 N BROAD ST,,NEW ORLEANS,LA,70119-2340,000-317-5408,1120 - PHARMACIES & DRUG STORES,3680145.37403,541291.70574
-90.060568337445218,30.022677023591221,16368,"WALGREENS LOUISIANA CO., INC.",WALGREENS #03558,6201 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,,1120 - PHARMACIES & DRUG STORES,3683605.97116,555974.068121
-90.013693837612195,29.921562533756237,16369,"WALGREENS LOUISIANA CO., INC.",WALGREENS #03889,4110 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,847-914-5418,1120 - PHARMACIES & DRUG STORES,3698862.38052,519373.020087
-90.071260040310463,29.954315744099215,16370,WALGREEN LOUISIANA CO IN,WALGREENS #04305,900 CANAL ST,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3680496.48795,531077.842498
-89.979779400190822,30.04392942432186,16371,"WALGREEN LOUISIANA CO., INC",WALGREENS #04982,7401 READ BLVD,,NEW ORLEANS,LA,70127,504-242-7984,1120 - PHARMACIES & DRUG STORES,3709079.45572,563995.224545
-90.07783500747496,29.936348817059798,16372,WALGREENS LOUISIANA CO INC.,WALGREENS #05040,1801 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3678486.06101,524521.537532
-89.956020818564156,30.038782006325622,16373,"WALGREENS LOUISIANA CO., INC.",WALGREENS #05358,11297 LAKE FOREST BLVD,,NEW ORLEANS,LA,70128,,1120 - PHARMACIES & DRUG STORES,3716618.45644,562213.001247
-90.063357744973217,29.956589643411331,16374,"WALGREENS LOUISIANA CO., INC.",WALGREENS #05551,619 DECATUR ST,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3682989.6445,531932.363395
-90.120385742817902,29.956401705783176,16375,"WALGREENS LOUISIANA CO., INC",WALGREENS #05866,2418 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-000-0000,1120 - PHARMACIES & DRUG STORES,3664932.39469,531668.372803
-90.076989294556824,29.951922709288411,16376,"WALGREENS LOUISIANA CO., INC.",WALGREENS #09063,134 ROYAL ST,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
-90.099701104883962,29.974693545572613,16377,"WALGREEN LOUISIANA CO., INC.",WALGREENS #10316,4001 CANAL ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3671410.61748,538389.913225
-90.058699984597055,29.999720045488015,16378,"WALGREENS LOUISIANA CO., INC.",WALGREENS #11414,3216 GENTILLY BLVD,,NEW ORLEANS,LA,70122,,1120 - PHARMACIES & DRUG STORES,3684290.0573,547632.577234
-90.112814298787129,30.021302739105661,16379,"WALGREEN LOUISIANA CO., INC.",WALGREENS #11496,101 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70124,504-282-2203,1120 - PHARMACIES & DRUG STORES,3667078.52308,555294.448409
-90.006852034747041,29.934296764314055,16380,"WALGREEN LOUISIANA CO., INC.",WALGREENS #12557,4550 GENERAL MEYER AVE,,NEW ORLEANS,LA,70131,504-361-0281,1120 - PHARMACIES & DRUG STORES,3700975.98116,524028.633724
-90.076022653666783,29.955466371932218,16381,WALGREEN LOUISIANA CO. INC,WALGREENS #13777,1415 TULANE AVE,STE 2CW07,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3678983.77896,531479.673603
-90.069824816104145,29.954083492279175,16382,"WALGREEN LOUISIANA CO, INC.",WALGREENS #15615,801 CANAL ST,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3680951.89391,530998.395906
-90.0922880588178,29.925652636962312,16383,"WALGREENS LOUISIANA CO., INC",WALGREENS #16309,1401 FOUCHER ST,STE  C-309,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3673950.68904,520582.149496
-90.080903856389682,29.960735872343829,16384,"WALGREENS LOUISIANA CO., INC",WALGREENS #16395,2000 CANAL ST,SUITE G1-1200,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3677417.18107,533378.9337
-90.133152783532054,29.944390038125213,16385,WALGREEN #4450,WALGREENS #4450,718 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-861-2787,1120 - PHARMACIES & DRUG STORES,3660935.42803,527257.895231
-90.103856161743906,29.939795662819268,16386,"WALGREEN LOUISIANA CO, INC.",WALGREENS #4451,4400 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1120 - PHARMACIES & DRUG STORES,3670231.31655,525685.574333
